tune,mode,comment
/MUSICIANS/S/SounDemoN/Vicious_SID_2-1st_loader.sid,escos,same impulse school
/MUSICIANS/S/SounDemoN/Vicious_SID_2-Cybernoid_2.sid,output,"hard-sync ctrl stream on voice 2, the mix IS the digi"
/MUSICIANS/S/SounDemoN/Vicious_SID_2-Escos.sid,escos,
/MUSICIANS/S/Swallow/Spasmolytic_part_2.sid,voice1Pwm,PWM samples on voice 1
/MUSICIANS/S/Swallow/Wonderland_IX_part_5.sid,voice1Pwm,PWM samples on voices 1+2
/MUSICIANS/S/Swallow/Wonderland_XI-End.sid,pwLo1,16 kHz Censor school without a signature
/MUSICIANS/T/Tape/Lootuskukka.sid,freq3,
/MUSICIANS/T/Thorne_Jeremy/Song_Writer-Follow_Me.sid,none,"Song Writer 1984, PW timbre fuzz"
/MUSICIANS/T/Thorne_Jeremy/Song_Writer-Life.sid,none,"Song Writer 1984, PW timbre fuzz"
/MUSICIANS/T/Thorne_Jeremy/Song_Writer-REM10.sid,none,"Song Writer 1984, PW timbre fuzz"
/MUSICIANS/V/Vincenzo/Semmi.sid,output,
/MUSICIANS/W/Warp_8/Bassminer.sid,none,Warp 8 players modulate at 8x speed by design
/MUSICIANS/W/Warp_8/Child_in_Time_Dub_Purple_Remix.sid,none,Warp 8 players modulate at 8x speed by design
/MUSICIANS/W/Warp_8/Deaf_Apollo.sid,none,Warp 8 players modulate at 8x speed by design
/MUSICIANS/W/Warp_8/Escalating_Madness.sid,none,Warp 8 players modulate at 8x speed by design
/MUSICIANS/W/Warp_8/Minimalprinzip.sid,none,Warp 8 players modulate at 8x speed by design
/MUSICIANS/W/Warp_8/Money_for_Nothing_595_dollars_Remix.sid,none,Warp 8 players modulate at 8x speed by design
/MUSICIANS/W/Warp_8/Pickup.sid,none,Warp 8 players modulate at 8x speed by design
