tune,width,bass
/MUSICIANS/J/Jammer/Odyssey_2SID.sid,30,
/MUSICIANS/J/Jammer/Stars_Are_Us_2SID.sid,80,
/MUSICIANS/J/Jammer/Two_Times_Better_2SID.sid,50,
/MUSICIANS/J/Jammer/Yet_Bigger_Beat_2SID.sid,100,
/MUSICIANS/J/Julian_Jaymz/Slanted_2SID.sid,60,
/MUSICIANS/J/Julian_Jaymz/Square_Two_2SID.sid,80,
/MUSICIANS/K/Kordiaukis/Kordiaukis_01_2SID.sid,80,
/MUSICIANS/K/Kozaki_Soft/KnotCrafter_2SID.sid,60,
/MUSICIANS/L/LMan/Blade_Runner_Main_Titles_2SID.sid,60,
/MUSICIANS/L/LMan/Tuneful_Eight_tune_1_2SID.sid,100,-4.0
/MUSICIANS/L/LMan/Tuneful_Eight_tune_2_2SID.sid,100,-4.0
/MUSICIANS/L/LMan/Tuneful_Eight_tune_3_2SID.sid,100,-4.0
/MUSICIANS/L/LMan/Tuneful_Eight_tune_4_2SID.sid,100,-4.0
/MUSICIANS/M/M_O_T/Take_em_Out_stereo_2SID.sid,40,
/MUSICIANS/M/Mahoney/Stereophonik_6581_2SID.sid,100,
/MUSICIANS/M/Mahoney/Stereophonik_8580_2SID.sid,100,
/MUSICIANS/M/Manganoid/Empires_Worlds_Goddesses_etc_2SID.sid,,-3.0
/MUSICIANS/M/Manganoid/For_Denise_2SID.sid,,-3.0
/MUSICIANS/M/Manganoid/Mystery_Cannon_2SID.sid,,-3.0
/MUSICIANS/M/Manganoid/Pianoesque_2SID.sid,,+6.0
/MUSICIANS/M/Manganoid/Pilfers-Climbing_2SID.sid,,+3.0
/MUSICIANS/M/MCH/Monty_on_the_Run_D_n_B_edit_2SID.sid,,-2.0
/MUSICIANS/M/MCH/ZX_Clive_Tribute_2SID.sid,,-5.0
/MUSICIANS/M/Mermaid/Hyperdrive_Splorf_stereo_mix_2SID.sid,40,+3.0
/MUSICIANS/M/Mibri/Best_Is_yet_to_Come_2SID.sid,40,+2.0
/MUSICIANS/M/Mitch_and_Dane/Dane/Hexadecimal_2SID.sid,,-2.0
/MUSICIANS/M/Moraff/Lintu_ja_lapsi_2SID.sid,60,
/MUSICIANS/M/Moraff/Ripaskacha_in_Stereo_2SID.sid,40,+3.0
/MUSICIANS/M/MovieMovies1/Erika_To_Satoru_No_Yume_Bouken_2SID.sid,100,
/MUSICIANS/M/MovieMovies1/Super_Mario_Bros_2SID.sid,100,-2.0
/MUSICIANS/N/Nata/*_2SID.sid,60,-3.0
/MUSICIANS/N/Nata/Elav_Stereo_2SID.sid,100,-3.0
/MUSICIANS/N/Nata/Hokuto_Stereo_2SID.sid,100,-3.0
/MUSICIANS/N/Nobody/Hardtek_Jam_2SID.sid,100,
/MUSICIANS/N/Nobody/Turn_it_Louder_2SID.sid,100,
/MUSICIANS/P/PCH/Waiting_for_the_Future_2SID.sid,40,
/MUSICIANS/P/Phobos/Double_Dragon_2SID.sid,100,-6.0
/MUSICIANS/P/Phobos/Excalibur_2SID.sid,20,-2.0
/MUSICIANS/P/Phobos/Nasze_Randez-Vous_Remix_2SID.sid,60,-6.0
/MUSICIANS/P/Phobos/What_Is_Love_2SID.sid,20,-1.5
/MUSICIANS/P/Proton/Airwolf_Theme_2SID.sid,40,
/MUSICIANS/P/Proton/Deserted_Cities_2SID.sid,20,+6.0
/MUSICIANS/P/Proton/Error-40_2SID.sid,40,
/MUSICIANS/P/Proton/Galwaymulation_2SID.sid,40,
/MUSICIANS/P/Proton/Le_Parc_Streethawk_theme_2SID.sid,20,
/MUSICIANS/P/Proton/Mindwarped_2SID.sid,20,
/MUSICIANS/P/Proton/Saunasolmuhumppa_2SID.sid,40,
/MUSICIANS/P/Proton/X-Files_Theme_Remix_2SID.sid,40,
/MUSICIANS/R/Randy/Time_2SID.sid,,-9.0
/MUSICIANS/R/Rayden/Zipped_out_2SID.sid,60,
/MUSICIANS/R/Rosenfeldt_Harald/Crazy_Little_Thing_Called_Love_2SID.sid,40,
/MUSICIANS/R/Rosenfeldt_Harald/Demo-Music_1_2SID.sid,80,
/MUSICIANS/R/Rosenfeldt_Harald/Demo-Music_2_2SID.sid,80,
/MUSICIANS/R/Rosenfeldt_Harald/Demo-Music_3_2SID.sid,60,
/MUSICIANS/R/Rosenfeldt_Harald/Yesterday_2SID.sid,60,
/MUSICIANS/S/Shogoon/A_Song_for_You_2SID.sid,40,+6.0
/MUSICIANS/S/Shogoon/Cowboys_Dream_2SID.sid,40,+6.0
/MUSICIANS/S/Shogoon/First_Chords_2SID.sid,40,+6.0
/MUSICIANS/S/Shogoon/Joe_2SID.sid,40,+6.0
/MUSICIANS/S/Shogoon/Lullaby_for_Teddy_Bear_2SID.sid,20,
/MUSICIANS/S/Shogoon/Lullaby_of_the_Moment_2SID.sid,60,+6.0
/MUSICIANS/S/Shogoon/Prelude_and_Fugato_2SID.sid,60,+6.0
/MUSICIANS/S/Shogoon/Wild_West_Weekly_2SID.sid,,+6.0
/MUSICIANS/S/Shogoon/Zorro_2SID.sid,100,+3.0
/MUSICIANS/S/Slimex/Snowfall_2SID.sid,100,-3.0
/MUSICIANS/S/Spider_Jerusalem/Canon_457_Study_2_2SID.sid,60,-3.0
/MUSICIANS/S/Stinsen/Guilty_Pleasures_2SID.sid,,-6.0
/MUSICIANS/S/Surgeon/Cow_Anus_Fucked_2SID.sid,100,-3.0
/MUSICIANS/S/Surgeon/Mothafucka_2SID.sid,40,-3.0
/MUSICIANS/S/Surgeon/Nice_Dream_2SID.sid,40,-3.0
/MUSICIANS/T/Televicious/*_2SID.sid,100,
/MUSICIANS/T/TheK/You_2SID.sid,60,+6.0
/MUSICIANS/T/TSM/Fiki_Fiki_2SID.sid,40,
/MUSICIANS/U/Uctumi/Souls_Lost_to_Poseidon_2SID.sid,40,-6.0
,,
/MUSICIANS/D/Demosic/Strangehold_3SID.sid,80,
/MUSICIANS/E/Et1999cc/Resonance_3SID.sid,40,
/MUSICIANS/H/Hermit/3SID_Tracker_Demo_1_3SID.sid,100,
/MUSICIANS/H/Hermit/Tree_Angel_3SID.sid,100,+3.0
/MUSICIANS/J/Jammer/Light_Years_3SID.sid,100,+3.0
/MUSICIANS/J/Jammer/Melbourne_Shuffle_3SID.sid,100,
/MUSICIANS/S/Shogoon/Cheezzy_Top_3SID.sid,20,-3.0
/MUSICIANS/S/Shogoon/Cheezzy_Top_Fixed_3SID.sid,20,-3.0
/MUSICIANS/S/Shogoon/Do_Nothing_for_3_Minutes_3SID.sid,100,+6.0
,,
/DEMOS/M-R/Nutcracker_10SID.sid,20,
/GAMES/M-R/Mega_Chase_Theme_4SID.sid,0,
/MUSICIANS/A/Ames_John/Teen_Spirit_4SID.sid,0,
/MUSICIANS/H/Hermit/Example_Tune_4SID.sid,20,
/MUSICIANS/N/Narciso/Siggraph_Invitro_4SID.sid,0,+3.0
/MUSICIANS/R/Rayden/A-D_Hammer_4SID.sid,0,
/MUSICIANS/R/Rayden/A-D_Mon_4SID.sid,0,
/MUSICIANS/R/Rayden/A-D_Twice_4SID.sid,0,
/MUSICIANS/V/Vincenzo/Quad_Core_4SID.sid,0,
,,
/MUSICIANS/T/Toggle/Anticipation.sid,,+6.0
/MUSICIANS/T/Toggle/Kicks_Like_a_M_U_L_E.sid,,-5.0
